customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,tenure_month
0002-ORFBO,Female,0,Yes,Yes,1,1,1,Mailed check,65.6,593.3,No,9.044207317,9
0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,59.9,542.4,No,9.05509182,9
0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,73.9,280.85,Yes,3.800405954,4
0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,98,1237.85,Yes,12.63112245,13
0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,83.9,267.4,Yes,3.187127533,3
0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),69.4,571.45,No,8.234149856,8
0013-SMEOE,Female,1,Yes,No,1,2,2,Bank transfer (automatic),109.7,7904.25,No,72.05332726,72
0014-BMAQU,Male,0,Yes,No,2,2,2,Credit card (automatic),84.65,5377.8,No,63.52982871,64
0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,48.2,340.35,No,7.06120332,7
0016-QLJIS,Female,0,Yes,Yes,2,1,2,Mailed check,90.45,5957.9,No,65.86954118,66
0017-DINOC,Male,0,No,No,0,1,2,Credit card (automatic),45.2,2460.55,No,54.4369469,54
0017-IUDMW,Female,0,Yes,Yes,2,2,2,Credit card (automatic),116.8,8456.75,No,72.40368151,72
0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,68.95,351.5,No,5.097897027,5
0019-EFAEP,Female,0,No,No,2,2,2,Bank transfer (automatic),101.3,7261.25,No,71.68065153,72
0019-GFNTW,Female,0,No,No,0,1,2,Bank transfer (automatic),45.05,2560.1,No,56.82796892,57
0020-INWCK,Female,0,Yes,Yes,2,2,2,Credit card (automatic),95.75,6849.4,No,71.53420366,72
0020-JDNXP,Female,0,Yes,Yes,0,1,1,Mailed check,61.25,1993.2,No,32.54204082,33
0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,72.1,72.1,No,1,1
0022-TCJCI,Male,1,No,No,1,1,1,Credit card (automatic),62.7,2791.5,Yes,44.5215311,45
0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,25.1,25.1,Yes,1,1
